x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.491992,0.133993,0.487993,0.70712,-0.707094,-1.95542e-05,-4.91093e-06,-0.00092376,-0.00092376,-0.00092376,0.00478401,0.00304775,0.00478401,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491991,0.133992,0.487992,0.707122,-0.707092,-2.24097e-05,-5.54398e-06,-0.000981495,-0.000981495,-0.000981495,0.00508301,0.00323823,0.00508301,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.49199,0.133991,0.487991,0.707124,-0.70709,-2.54382e-05,-6.2154e-06,-0.00103923,-0.00103923,-0.00103923,0.00538201,0.00342872,0.00538201,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491989,0.13399,0.48799,0.707126,-0.707088,-2.86398e-05,-6.92518e-06,-0.00109697,-0.00109697,-0.00109697,0.00568101,0.0036192,0.00568101,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491987,0.133988,0.487988,0.707128,-0.707086,-3.20144e-05,-7.67333e-06,-0.0011547,-0.0011547,-0.0011547,0.00598001,0.00380968,0.00598001,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491986,0.133987,0.487987,0.70713,-0.707084,-3.55621e-05,-8.45984e-06,-0.00121244,-0.00121244,-0.00121244,0.00627901,0.00400017,0.00627901,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491985,0.133986,0.487986,0.707132,-0.707082,-3.92829e-05,-9.28473e-06,-0.00127017,-0.00127017,-0.00127017,0.00657801,0.00419065,0.00657801,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491984,0.133985,0.487985,0.707135,-0.707079,-4.31767e-05,-1.0148e-05,-0.00132791,-0.00132791,-0.00132791,0.00687701,0.00438114,0.00687701,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491982,0.133983,0.487983,0.707137,-0.707077,-4.72436e-05,-1.10496e-05,-0.00138564,-0.00138564,-0.00138564,0.00717601,0.00457162,0.00717601,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.491981,0.133982,0.487982,0.70714,-0.707074,-5.14836e-05,-1.19896e-05,-0.00144338,-0.00144338,-0.00144338,0.00747501,0.00476211,0.00747501,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
