x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554459,-3.95196e-05,0.624462,0.923937,-0.382543,-9.93884e-05,-6.95997e-05,-0.0021362,-0.0021362,-0.0021362,0.011063,0.00704791,0.011063,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554457,-4.16847e-05,0.62446,0.923939,-0.382538,-0.000104833,-7.34127e-05,-0.00219393,-0.00219393,-0.00219393,0.011362,0.0072384,0.011362,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554455,-4.39075e-05,0.624458,0.923942,-0.382533,-0.000110423,-7.73274e-05,-0.00225167,-0.00225167,-0.00225167,0.011661,0.00742888,0.011661,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554453,-4.6188e-05,0.624456,0.923944,-0.382527,-0.000116159,-8.13438e-05,-0.0023094,-0.0023094,-0.0023094,0.01196,0.00761937,0.01196,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55445,-4.85263e-05,0.624453,0.923946,-0.382522,-0.000122039,-8.54618e-05,-0.00236714,-0.00236714,-0.00236714,0.012259,0.00780985,0.012259,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554448,-5.09223e-05,0.624451,0.923949,-0.382516,-0.000128065,-8.96815e-05,-0.00242487,-0.00242487,-0.00242487,0.012558,0.00800034,0.012558,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554446,-5.3376e-05,0.624449,0.923951,-0.38251,-0.000134236,-9.40029e-05,-0.00248261,-0.00248261,-0.00248261,0.012857,0.00819082,0.012857,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554443,-5.58875e-05,0.624446,0.923953,-0.382504,-0.000140552,-9.84259e-05,-0.00254034,-0.00254034,-0.00254034,0.013156,0.0083813,0.013156,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554441,-5.84567e-05,0.624444,0.923956,-0.382498,-0.000147013,-0.000102951,-0.00259808,-0.00259808,-0.00259808,0.013455,0.00857179,0.013455,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554438,-6.10837e-05,0.624441,0.923959,-0.382492,-0.00015362,-0.000107577,-0.00265581,-0.00265581,-0.00265581,0.013754,0.00876227,0.013754,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554435,-6.37683e-05,0.624438,0.923961,-0.382485,-0.000160372,-0.000112305,-0.00271355,-0.00271355,-0.00271355,0.014053,0.00895276,0.014053,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554432,-6.65108e-05,0.624435,0.923964,-0.382479,-0.000167269,-0.000117135,-0.00277128,-0.00277128,-0.00277128,0.014352,0.00914324,0.014352,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55443,-6.93109e-05,0.624433,0.923967,-0.382472,-0.000174311,-0.000122066,-0.00282902,-0.00282902,-0.00282902,0.014651,0.00933373,0.014651,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554427,-7.21688e-05,0.62443,0.92397,-0.382465,-0.000181498,-0.0001271,-0.00288675,-0.00288675,-0.00288675,0.01495,0.00952421,0.01495,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554424,-7.50844e-05,0.624427,0.923972,-0.382458,-0.000188831,-0.000132234,-0.00294449,-0.00294449,-0.00294449,0.015249,0.00971469,0.015249,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554421,-7.80578e-05,0.624424,0.923975,-0.382451,-0.000196308,-0.000137471,-0.00300222,-0.00300222,-0.00300222,0.015548,0.00990518,0.015548,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554418,-8.10888e-05,0.624421,0.923978,-0.382444,-0.000203931,-0.000142809,-0.00305996,-0.00305996,-0.00305996,0.015847,0.0100957,0.015847,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554415,-8.41777e-05,0.624418,0.923981,-0.382437,-0.000211699,-0.000148249,-0.00311769,-0.00311769,-0.00311769,0.016146,0.0102861,0.016146,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554412,-8.73242e-05,0.624415,0.923985,-0.382429,-0.000219613,-0.000153791,-0.00317543,-0.00317543,-0.00317543,0.016445,0.0104766,0.016445,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554408,-9.05285e-05,0.624411,0.923988,-0.382421,-0.000227671,-0.000159434,-0.00323316,-0.00323316,-0.00323316,0.016744,0.0106671,0.016744,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554405,-9.37906e-05,0.624408,0.923991,-0.382414,-0.000235875,-0.000165179,-0.0032909,-0.0032909,-0.0032909,0.017043,0.0108576,0.017043,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
